actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,comb
Minnie Driver,Jada Pinkett Smith,Billy Crudup,Hayao Miyazaki,Adventure|Animation|Fantasy,princess mononoke,Minnie Driver Jada Pinkett Smith Billy Crudup Hayao Miyazaki Adventure|Animation|Fantasy
Isabelle Adjani,Peter Coyote,Virginie Ledoyen,Jean-Paul Rappeneau,Comedy|Drama|Mystery|Romance|Thriller|War,bon voyage,Isabelle Adjani Peter Coyote Virginie Ledoyen Jean-Paul Rappeneau Comedy|Drama|Mystery|Romance|Thriller|War
Steve Guttenberg,Randy Jones,Caitlyn Jenner,Nancy Walker,Biography|Comedy|Musical,can't stop the music,Steve Guttenberg Randy Jones Caitlyn Jenner Nancy Walker Biography|Comedy|Musical
Ray Winstone,Noah Taylor,Danny Huston,John Hillcoat,Crime|Drama|Western,the proposition,Ray Winstone Noah Taylor Danny Huston John Hillcoat Crime|Drama|Western
Donny Boaz,Finn Wittrock,Brent Anderson,Angelo Pizzo,Biography|Drama|Sport,courage,Donny Boaz Finn Wittrock Brent Anderson Angelo Pizzo Biography|Drama|Sport
Damon Wayans,Jane Krakowski,Paula Garcés,Richard Benjamin,Comedy|Music,marci x,Damon Wayans Jane Krakowski Paula Garcés Richard Benjamin Comedy|Music
Christian Bale,Emily Watson,Sean Pertwee,Kurt Wimmer,Action|Drama|Sci-Fi|Thriller,equilibrium,Christian Bale Emily Watson Sean Pertwee Kurt Wimmer Action|Drama|Sci-Fi|Thriller
Radha Mitchell,Guang Li,Matthew Walker,Roger Spottiswoode,Drama|War,the children of huang shi,Radha Mitchell Guang Li Matthew Walker Roger Spottiswoode Drama|War
Charlize Theron,Ellen Burstyn,Faye Dunaway,James Gray,Crime|Drama|Romance|Thriller,the yards,Charlize Theron Ellen Burstyn Faye Dunaway James Gray Crime|Drama|Romance|Thriller
Chazz Palminteri,Garrett Clayton,Toni Braxton,Matthew Diamond,Adventure|Family|Fantasy|Musical,the oogieloves in the big balloon adventure,Chazz Palminteri Garrett Clayton Toni Braxton Matthew Diamond Adventure|Family|Fantasy|Musical
Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,Angelina Jolie Pitt,Drama|Romance,by the sea,Brad Pitt Angelina Jolie Pitt Melvil Poupaud Angelina Jolie Pitt Drama|Romance
William Hootkins,Robin Atkin Downes,Rosalind Ayres,Katsuhiro Ôtomo,Action|Adventure|Animation|Family|Sci-Fi|Thriller,steamboy,William Hootkins Robin Atkin Downes Rosalind Ayres Katsuhiro Ôtomo Action|Adventure|Animation|Family|Sci-Fi|Thriller
Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,David Anspaugh,Drama|History|Sport,the game of their lives,Gerard Butler Costas Mandylor Jimmy Jean-Louis David Anspaugh Drama|History|Sport
Ryan Gosling,Kirsten Dunst,Frank Langella,Andrew Jarecki,Crime|Drama|Mystery|Romance|Thriller,all good things,Ryan Gosling Kirsten Dunst Frank Langella Andrew Jarecki Crime|Drama|Mystery|Romance|Thriller
Esai Morales,Jason Scott Lee,Sandrine Holt,Kevin Reynolds,Action|Adventure|Drama|History|Romance,rapa nui,Esai Morales Jason Scott Lee Sandrine Holt Kevin Reynolds Action|Adventure|Drama|History|Romance
Jiao Xu,Yuqi Zhang,Chi Chung Lam,Stephen Chow,Comedy|Family|Sci-Fi,cj7,Jiao Xu Yuqi Zhang Chi Chung Lam Stephen Chow Comedy|Family|Sci-Fi
Christian Clavier,Philippe Nahon,Marie-Anne Chazel,Jean-Marie Poiré,Comedy|Family|Fantasy|Sci-Fi,les couloirs du temps: les visiteurs ii,Christian Clavier Philippe Nahon Marie-Anne Chazel Jean-Marie Poiré Comedy|Family|Fantasy|Sci-Fi
Marco St. John,Laura Spencer,Anita Briem,Kevin Munroe,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,dylan dog: dead of night,Marco St. John Laura Spencer Anita Briem Kevin Munroe Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller
Al Pacino,Richard Schiff,Mark Webber,Daniel Algrant,Crime|Drama|Mystery,people i know,Al Pacino Richard Schiff Mark Webber Daniel Algrant Crime|Drama|Mystery
Peter Vaughan,George Coulouris,Ewen Solon,unknown,Drama|Family,the doombolt chase            ,Peter Vaughan George Coulouris Ewen Solon unknown Drama|Family
Djimon Hounsou,Reeve Carney,Tom Conti,Julie Taymor,Comedy|Drama|Fantasy|Romance,the tempest,Djimon Hounsou Reeve Carney Tom Conti Julie Taymor Comedy|Drama|Fantasy|Romance
Emma Watson,Aaron Ashmore,Julian Richings,Alejandro Amenábar,Crime|Drama|Mystery|Thriller,regression,Emma Watson Aaron Ashmore Julian Richings Alejandro Amenábar Crime|Drama|Mystery|Thriller
Necar Zadegan,Traci Dinwiddie,Elea Oberon,Jane Clark,Romance|Short,the touch,Necar Zadegan Traci Dinwiddie Elea Oberon Jane Clark Romance|Short
Andy Lau,Sammo Kam-Bo Hung,Andy On,Daniel Lee,Action|Drama|History|War,three kingdoms: resurrection of the dragon,Andy Lau Sammo Kam-Bo Hung Andy On Daniel Lee Action|Drama|History|War
Gerard Butler,Nicholas Lea,Callum Rennie,Mike Barker,Crime|Drama|Thriller,shattered,Gerard Butler Nicholas Lea Callum Rennie Mike Barker Crime|Drama|Thriller
Leonard Nimoy,Phil LaMarr,Noureen DeWulf,Wayne Thornley,Adventure|Animation|Comedy|Family,zambezia,Leonard Nimoy Phil LaMarr Noureen DeWulf Wayne Thornley Adventure|Animation|Comedy|Family
Mani Bharathi,Michael Lieber,Kevin McGowan,Gnana Rajasekaran,Biography|Drama|History,ramanujan,Mani Bharathi Michael Lieber Kevin McGowan Gnana Rajasekaran Biography|Drama|History
Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,Tom Walsh,Animation,dwegons and leprechauns,Joey D. Vieira Maggie Wheeler Jacqueline Lovell Tom Walsh Animation
Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez,Jonathan Jakubowicz,Action|Biography|Drama|Sport,hands of stone,Robert De Niro Jurnee Smollett-Bell Edgar Ramírez Jonathan Jakubowicz Action|Biography|Drama|Sport
Milla Jovovich,Roger Rees,Robert Forster,James McTeigue,Action|Crime|Thriller,survivor,Milla Jovovich Roger Rees Robert Forster James McTeigue Action|Crime|Thriller
Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,Scott Walker,Crime|Drama|Mystery|Thriller,the frozen ground,Nicolas Cage Radha Mitchell Jodi Lyn O'Keefe Scott Walker Crime|Drama|Mystery|Thriller
Toby Jones,Sally Hawkins,Alan David,John Curran,Drama|Romance,the painted veil,Toby Jones Sally Hawkins Alan David John Curran Drama|Romance
Moritz Bleibtreu,Alexandra Maria Lara,Martina Gedeck,Uli Edel,Action|Biography|Crime|Drama,the baader meinhof complex,Moritz Bleibtreu Alexandra Maria Lara Martina Gedeck Uli Edel Action|Biography|Crime|Drama
Mary McDonnell,Michael Spears,Maury Chaykin,Kevin Costner,Adventure|Drama|Western,dances with wolves,Mary McDonnell Michael Spears Maury Chaykin Kevin Costner Adventure|Drama|Western
Justin Timberlake,John Michael Higgins,Phyllis Smith,Jake Kasdan,Comedy,bad teacher,Justin Timberlake John Michael Higgins Phyllis Smith Jake Kasdan Comedy
Al Pacino,Michael O'Neill,Ellen Barkin,Harold Becker,Crime|Drama|Mystery|Thriller,sea of love,Al Pacino Michael O'Neill Ellen Barkin Harold Becker Crime|Drama|Mystery|Thriller
Dan Byrd,Lin Shaye,Julie Gonzalo,Mark Rosman,Comedy|Family|Romance,a cinderella story,Dan Byrd Lin Shaye Julie Gonzalo Mark Rosman Comedy|Family|Romance
David Arquette,W. Earl Brown,Roger Jackson,Wes Craven,Horror|Mystery,scream,David Arquette W. Earl Brown Roger Jackson Wes Craven Horror|Mystery
Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,Steve Beck,Horror,thir13en ghosts,Shannon Elizabeth Embeth Davidtz F. Murray Abraham Steve Beck Horror
Scatman Crothers,Shelley Duvall,Joe Turkel,Stanley Kubrick,Drama|Horror,the shining,Scatman Crothers Shelley Duvall Joe Turkel Stanley Kubrick Drama|Horror
Lea Thompson,Thomas F. Wilson,J.J. Cohen,Robert Zemeckis,Adventure|Comedy|Sci-Fi,back to the future,Lea Thompson Thomas F. Wilson J.J. Cohen Robert Zemeckis Adventure|Comedy|Sci-Fi
Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,William Malone,Horror|Mystery|Thriller,house on haunted hill,Jeffrey Combs Peter Gallagher Bridgette Wilson-Sampras William Malone Horror|Mystery|Thriller
Eric Mendenhall,Mary J. Blige,Hope Olaide Wilson,Tyler Perry,Comedy|Drama,i can do bad all by myself,Eric Mendenhall Mary J. Blige Hope Olaide Wilson Tyler Perry Comedy|Drama
Kari J. Kramer,Erin O'Brien,Cabrina Collesides,Rob Hawk,Action|Drama,fight valley,Kari J. Kramer Erin O'Brien Cabrina Collesides Rob Hawk Action|Drama
Caroline Dhavernas,Scott Elrod,Kelli Barrett,Josh Gordon,Comedy|Drama|Romance,the switch,Caroline Dhavernas Scott Elrod Kelli Barrett Josh Gordon Comedy|Drama|Romance
Taran Killam,David Agranov,David Moscow,Shawn Levy,Comedy|Romance,just married,Taran Killam David Agranov David Moscow Shawn Levy Comedy|Romance
Mem Ferda,Dominic Cooper,Ludivine Sagnier,Lee Tamahori,Biography|Drama|Thriller,the devil's double,Mem Ferda Dominic Cooper Ludivine Sagnier Lee Tamahori Biography|Drama|Thriller
Nicole 'Snooki' Polizzi,Jenni 'Jwoww' Farley,Paul 'Pauly D' DelVecchio,unknown,Comedy|Drama|Reality-TV|Romance,"gone, baby, gone            ",Nicole 'Snooki' Polizzi Jenni 'Jwoww' Farley Paul 'Pauly D' DelVecchio unknown Comedy|Drama|Reality-TV|Romance
Mara Wilson,Colm Feore,Peter Fonda,Britt Allcroft,Adventure|Comedy|Drama|Family|Fantasy,thomas and the magic railroad,Mara Wilson Colm Feore Peter Fonda Britt Allcroft Adventure|Comedy|Drama|Family|Fantasy
Radha Mitchell,Glenn Morshower,John Aylward,Breck Eisner,Horror|Thriller,the crazies,Radha Mitchell Glenn Morshower John Aylward Breck Eisner Horror|Thriller
Bunta Sugawara,Ryûnosuke Kamiki,Miyu Irino,Hayao Miyazaki,Adventure|Animation|Family|Fantasy,spirited away,Bunta Sugawara Ryûnosuke Kamiki Miyu Irino Hayao Miyazaki Adventure|Animation|Family|Fantasy
Andy Lau,Michael Wong,Terence Yin,Alan Yuen,Action|Crime|Thriller,firestorm,Andy Lau Michael Wong Terence Yin Alan Yuen Action|Crime|Thriller
Liam Neeson,Anthony Hopkins,Laurence Olivier,Roger Donaldson,Action|Adventure|Drama|History|Romance,the bounty,Liam Neeson Anthony Hopkins Laurence Olivier Roger Donaldson Action|Adventure|Drama|History|Romance
Emily Watson,Sophie Nélisse,Roger Allam,Brian Percival,Drama|War,the book thief,Emily Watson Sophie Nélisse Roger Allam Brian Percival Drama|War
Katrina Bowden,Michael Cudlitz,Alice Greczyn,Sean Anders,Adventure|Comedy|Romance,sex drive,Katrina Bowden Michael Cudlitz Alice Greczyn Sean Anders Adventure|Comedy|Romance
Adam Scott,Kaitlin Olson,Dominique McElligott,Anand Tucker,Comedy|Romance,leap year,Adam Scott Kaitlin Olson Dominique McElligott Anand Tucker Comedy|Romance
James Mason,Mel Ferrer,Stephen Boyd,Anthony Mann,Drama|History|War,the fall of the roman empire,James Mason Mel Ferrer Stephen Boyd Anthony Mann Drama|History|War
Topher Grace,Michael Biehn,Dan Fogler,Michael Dowse,Comedy|Drama|Romance,take me home tonight,Topher Grace Michael Biehn Dan Fogler Michael Dowse Comedy|Drama|Romance
Holly Hunter,Rosie Perez,Dante Brown,Daniel Barnz,Drama,won't back down,Holly Hunter Rosie Perez Dante Brown Daniel Barnz Drama
Darci Kistler,Kyra Nichols,Margaret Tracey,Emile Ardolino,Family|Fantasy|Music,the nutcracker,Darci Kistler Kyra Nichols Margaret Tracey Emile Ardolino Family|Fantasy|Music
Steve Buscemi,Jennifer Jason Leigh,Miranda Richardson,Robert Altman,Crime|Drama|Music|Thriller,kansas city,Steve Buscemi Jennifer Jason Leigh Miranda Richardson Robert Altman Crime|Drama|Music|Thriller
Logan Lerman,Sarah Gadon,Tracy Letts,James Schamus,Drama,indignation,Logan Lerman Sarah Gadon Tracy Letts James Schamus Drama
Jimmy Bennett,Chloë Grace Moretz,Ryan Reynolds,Andrew Douglas,Drama|Horror|Mystery|Thriller,the amityville horror,Jimmy Bennett Chloë Grace Moretz Ryan Reynolds Andrew Douglas Drama|Horror|Mystery|Thriller
Nicolas Cage,Meryl Streep,Roger Willie,Spike Jonze,Comedy|Drama,adaptation.,Nicolas Cage Meryl Streep Roger Willie Spike Jonze Comedy|Drama
Tony Nappo,Shawn Roberts,Pedro Miguel Arce,George A. Romero,Horror,land of the dead,Tony Nappo Shawn Roberts Pedro Miguel Arce George A. Romero Horror
Louis Koo,Angelica Lee,Ching Wan Lau,Danny Pang,Action,out of inferno,Louis Koo Angelica Lee Ching Wan Lau Danny Pang Action
Johnny Depp,Michael Jeter,Ellen Barkin,Terry Gilliam,Adventure|Comedy|Drama,fear and loathing in las vegas,Johnny Depp Michael Jeter Ellen Barkin Terry Gilliam Adventure|Comedy|Drama
Jennifer Garner,Tina Fey,Martin Starr,Ricky Gervais,Comedy|Fantasy|Romance,the invention of lying,Jennifer Garner Tina Fey Martin Starr Ricky Gervais Comedy|Fantasy|Romance
Craig Roberts,Carla Gallo,Ike Barinholtz,Nicholas Stoller,Comedy,neighbors,Craig Roberts Carla Gallo Ike Barinholtz Nicholas Stoller Comedy
Peter Greene,Amy Yasbeck,Reg E. Cathey,Chuck Russell,Action|Comedy|Crime|Fantasy,the mask,Peter Greene Amy Yasbeck Reg E. Cathey Chuck Russell Action|Comedy|Crime|Fantasy
Tom Hanks,Jon Lovitz,John Heard,Penny Marshall,Comedy|Drama|Family|Fantasy|Romance,big,Tom Hanks Jon Lovitz John Heard Penny Marshall Comedy|Drama|Family|Fantasy|Romance
Luenell,Ken Davitian,Chester,Larry Charles,Comedy,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,Luenell Ken Davitian Chester Larry Charles Comedy
Linda Cardellini,Raquel Welch,Alanna Ubach,Robert Luketic,Comedy|Romance,legally blonde,Linda Cardellini Raquel Welch Alanna Ubach Robert Luketic Comedy|Romance
Leonard Nimoy,Nichelle Nichols,Walter Koenig,Leonard Nimoy,Action|Adventure|Sci-Fi,star trek iii: the search for spock,Leonard Nimoy Nichelle Nichols Walter Koenig Leonard Nimoy Action|Adventure|Sci-Fi
Tom Wilkinson,Colm Feore,JR Bourne,Scott Derrickson,Drama|Horror|Thriller,the exorcism of emily rose,Tom Wilkinson Colm Feore JR Bourne Scott Derrickson Drama|Horror|Thriller
Amy Poehler,Eddie Griffin,Bree Turner,Mike Mitchell,Comedy|Romance,deuce bigalow: male gigolo,Amy Poehler Eddie Griffin Bree Turner Mike Mitchell Comedy|Romance
Nicolas Cage,Lea Thompson,Quinton Aaron,Vic Armstrong,Action|Drama|Fantasy|Mystery|Thriller,left behind,Nicolas Cage Lea Thompson Quinton Aaron Vic Armstrong Action|Drama|Fantasy|Mystery|Thriller
Craig T. Nelson,Paul Schneider,Tyrone Giordano,Thomas Bezucha,Comedy|Drama|Romance,the family stone,Craig T. Nelson Paul Schneider Tyrone Giordano Thomas Bezucha Comedy|Drama|Romance
Harry Lennix,Sean Patrick Thomas,Kenan Thompson,Kevin Rodney Sullivan,Comedy|Drama,barbershop 2: back in business,Harry Lennix Sean Patrick Thomas Kenan Thompson Kevin Rodney Sullivan Comedy|Drama
Bernie Mac,Tony Cox,Alex Borstein,Terry Zwigoff,Comedy|Crime|Drama,bad santa,Bernie Mac Tony Cox Alex Borstein Terry Zwigoff Comedy|Crime|Drama
Will Ferrell,Charles Napier,Robert Wagner,Jay Roach,Comedy|Crime,austin powers: international man of mystery,Will Ferrell Charles Napier Robert Wagner Jay Roach Comedy|Crime
Nia Vardalos,Louis Mandylor,Joey Fatone,Kirk Jones,Comedy|Family|Romance,my big fat greek wedding 2,Nia Vardalos Louis Mandylor Joey Fatone Kirk Jones Comedy|Family|Romance
Zachary Gordon,Rachael Harris,Fran Kranz,David Bowers,Comedy|Family,diary of a wimpy kid: rodrick rules,Zachary Gordon Rachael Harris Fran Kranz David Bowers Comedy|Family
Shane Black,Bill Duke,Carl Weathers,John McTiernan,Action|Horror|Sci-Fi,predator,Shane Black Bill Duke Carl Weathers John McTiernan Action|Horror|Sci-Fi
Jeffrey Jones,F. Murray Abraham,Tom Hulce,Milos Forman,Biography|Drama|History|Music,amadeus,Jeffrey Jones F. Murray Abraham Tom Hulce Milos Forman Biography|Drama|History|Music
Ming-Na Wen,Scott Porter,Collins Pennie,Nelson McCormick,Horror|Mystery,prom night,Ming-Na Wen Scott Porter Collins Pennie Nelson McCormick Horror|Mystery
Tina Fey,Amy Poehler,Neil Flynn,Mark Waters,Comedy,mean girls,Tina Fey Amy Poehler Neil Flynn Mark Waters Comedy
Raoul Bova,Lindsay Duncan,Mario Monicelli,Audrey Wells,Comedy|Drama|Romance,under the tuscan sun,Raoul Bova Lindsay Duncan Mario Monicelli Audrey Wells Comedy|Drama|Romance
Kristin Scott Thomas,Bob Balaban,Tom Hollander,Robert Altman,Drama|Mystery,gosford park,Kristin Scott Thomas Bob Balaban Tom Hollander Robert Altman Drama|Mystery
Peter Gallagher,Melinda Clarke,Tate Donovan,unknown,Comedy|Drama|Romance,the o.c.            ,Peter Gallagher Melinda Clarke Tate Donovan unknown Comedy|Drama|Romance
Nicolas Cage,Kathleen Turner,Joan Allen,Francis Ford Coppola,Comedy|Drama|Fantasy|Romance,peggy sue got married,Nicolas Cage Kathleen Turner Joan Allen Francis Ford Coppola Comedy|Drama|Fantasy|Romance
Emma Stone,Naomi Watts,Merritt Wever,Alejandro G. Iñárritu,Comedy|Drama|Romance,birdman or (the unexpected virtue of ignorance),Emma Stone Naomi Watts Merritt Wever Alejandro G. Iñárritu Comedy|Drama|Romance
Sally Hawkins,Charlie Tahan,Andrew Dice Clay,Woody Allen,Drama,blue jasmine,Sally Hawkins Charlie Tahan Andrew Dice Clay Woody Allen Drama
Christian Clemenson,David Alan Basche,Susan Blommaert,Paul Greengrass,Drama|History|Thriller,united 93,Christian Clemenson David Alan Basche Susan Blommaert Paul Greengrass Drama|History|Thriller
Christian Monzon,Mekhi Phifer,Romeo Miller,Bille Woodruff,Drama|Music|Romance,honey,Christian Monzon Mekhi Phifer Romeo Miller Bille Woodruff Drama|Music|Romance
Denzel Washington,Morgan Freeman,Matthew Broderick,Edward Zwick,Drama|History|War,glory,Denzel Washington Morgan Freeman Matthew Broderick Edward Zwick Drama|History|War
Hulk Hogan,Barry Bostwick,Nicollette Sheridan,Rick Friedberg,Action|Comedy,spy hard,Hulk Hogan Barry Bostwick Nicollette Sheridan Rick Friedberg Action|Comedy
Jamie Lee Curtis,Hal Holbrook,Janet Leigh,John Carpenter,Fantasy|Horror,the fog,Jamie Lee Curtis Hal Holbrook Janet Leigh John Carpenter Fantasy|Horror
Dennis Quaid,Chris Brochu,Craig T. Nelson,Sean McNamara,Biography|Drama|Family|Sport,soul surfer,Dennis Quaid Chris Brochu Craig T. Nelson Sean McNamara Biography|Drama|Family|Sport
Bob Newhart,Bob Balaban,Martin Balsam,Mike Nichols,Comedy|Drama|War,catch-22,Bob Newhart Bob Balaban Martin Balsam Mike Nichols Comedy|Drama|War
Collette Wolfe,Celia Weston,Dan Bakkedahl,Jody Hill,Comedy|Crime|Drama,observe and report,Collette Wolfe Celia Weston Dan Bakkedahl Jody Hill Comedy|Crime|Drama
Mako,Olivia d'Abo,Grace Jones,Richard Fleischer,Action|Adventure|Fantasy,conan the destroyer,Mako Olivia d'Abo Grace Jones Richard Fleischer Action|Adventure|Fantasy
Robert De Niro,Cathy Moriarty,Frank Vincent,Martin Scorsese,Biography|Drama|Sport,raging bull,Robert De Niro Cathy Moriarty Frank Vincent Martin Scorsese Biography|Drama|Sport
Judy Greer,Sasha Alexander,Frances Conroy,Brandon Camp,Drama|Romance,love happens,Judy Greer Sasha Alexander Frances Conroy Brandon Camp Drama|Romance
Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,Barry Levinson,Adventure|Fantasy|Mystery|Thriller,young sherlock holmes,Nicholas Rowe Roger Ashton-Griffiths Freddie Jones Barry Levinson Adventure|Fantasy|Mystery|Thriller
Kelsey Grammer,Kay Panabaker,Megan Mullally,Kevin Tancharoen,Comedy|Drama|Musical|Romance,fame,Kelsey Grammer Kay Panabaker Megan Mullally Kevin Tancharoen Comedy|Drama|Musical|Romance
James Franco,Treat Williams,Kate Burton,Danny Boyle,Adventure|Biography|Drama|Thriller,127 hours,James Franco Treat Williams Kate Burton Danny Boyle Adventure|Biography|Drama|Thriller
Woody Allen,Jon Lovitz,Michael Rapaport,Woody Allen,Comedy|Crime,small time crooks,Woody Allen Jon Lovitz Michael Rapaport Woody Allen Comedy|Crime
Amanda Schull,Susan May Pratt,Ethan Stiefel,Nicholas Hytner,Drama|Music|Romance,center stage,Amanda Schull Susan May Pratt Ethan Stiefel Nicholas Hytner Drama|Music|Romance
Olivia Wilde,Alex Borstein,Timothée Chalamet,Jessie Nelson,Comedy,love the coopers,Olivia Wilde Alex Borstein Timothée Chalamet Jessie Nelson Comedy
Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,Bart Freundlich,Comedy|Crime,catch that kid,Kristen Stewart Corbin Bleu Kevin G. Schmidt Bart Freundlich Comedy|Crime
Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,Irwin Winkler,Drama,life as a house,Ian Somerhalder Hayden Christensen Kristin Scott Thomas Irwin Winkler Drama
Kate Winslet,Michael Fassbender,Michael Stuhlbarg,Danny Boyle,Biography|Drama,steve jobs,Kate Winslet Michael Fassbender Michael Stuhlbarg Danny Boyle Biography|Drama
Alan Ruck,Marie Avgeropoulos,Shawn Roberts,Chris Columbus,Comedy|Romance,"i love you, beth cooper",Alan Ruck Marie Avgeropoulos Shawn Roberts Chris Columbus Comedy|Romance
Steve Buscemi,Ari Graynor,Fred Willard,Miguel Arteta,Comedy|Drama|Romance,youth in revolt,Steve Buscemi Ari Graynor Fred Willard Miguel Arteta Comedy|Drama|Romance
Jason Robards,Richard Farnsworth,Michael Horse,William A. Fraker,Action|Adventure|Western,the legend of the lone ranger,Jason Robards Richard Farnsworth Michael Horse William A. Fraker Action|Adventure|Western
Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,John Boorman,Drama|Thriller,the tailor of panama,Daniel Radcliffe Jamie Lee Curtis Mark Margolis John Boorman Drama|Thriller
Nancy Allen,Dennis Franz,John McMartin,Brian De Palma,Mystery|Thriller,blow out,Nancy Allen Dennis Franz John McMartin Brian De Palma Mystery|Thriller
Rebecca Budig,Paul Freeman,Bruce Payne,Courtney Solomon,Action|Crime|Thriller,getaway,Rebecca Budig Paul Freeman Bruce Payne Courtney Solomon Action|Crime|Thriller
Joan Allen,Kate Burton,Henry Czerny,Ang Lee,Drama,the ice storm,Joan Allen Kate Burton Henry Czerny Ang Lee Drama
Yaya DaCosta,Annie Parisse,Frankie Valli,Rob Reiner,Comedy|Drama|Romance,and so it goes,Yaya DaCosta Annie Parisse Frankie Valli Rob Reiner Comedy|Drama|Romance
Craig T. Nelson,Shelley Long,Kellie Martin,Jeff Kanew,Adventure|Comedy,troop beverly hills,Craig T. Nelson Shelley Long Kellie Martin Jeff Kanew Adventure|Comedy
Miriam Margolyes,Shaun Evans,Juliet Stevenson,István Szabó,Comedy|Drama|Romance,being julia,Miriam Margolyes Shaun Evans Juliet Stevenson István Szabó Comedy|Drama|Romance
David Margulies,Karen Young,Kim Chan,Adrian Lyne,Drama|Romance,9½ weeks,David Margulies Karen Young Kim Chan Adrian Lyne Drama|Romance
Ian McDiarmid,Ralph Richardson,Albert Salmi,Matthew Robbins,Action|Adventure|Fantasy,dragonslayer,Ian McDiarmid Ralph Richardson Albert Salmi Matthew Robbins Action|Adventure|Fantasy
David Masterson,Kerry Condon,Anne-Marie Duff,Michael Hoffman,Biography|Drama|Romance,the last station,David Masterson Kerry Condon Anne-Marie Duff Michael Hoffman Biography|Drama|Romance
Johnny Depp,Bill Murray,Martin Landau,Tim Burton,Biography|Comedy|Drama,ed wood,Johnny Depp Bill Murray Martin Landau Tim Burton Biography|Comedy|Drama
J.K. Simmons,Kate Winslet,Brooke Smith,Jason Reitman,Drama,labor day,J.K. Simmons Kate Winslet Brooke Smith Jason Reitman Drama
Tadanobu Asano,Khulan Chuluun,Honglei Sun,Sergey Bodrov,Adventure|Biography|Drama|History|War,mongol: the rise of genghis khan,Tadanobu Asano Khulan Chuluun Honglei Sun Sergey Bodrov Adventure|Biography|Drama|History|War
Tom Hardy,Gerard Butler,Tom Wilkinson,Guy Ritchie,Action|Crime|Thriller,rocknrolla,Tom Hardy Gerard Butler Tom Wilkinson Guy Ritchie Action|Crime|Thriller
Barry Bostwick,Michael Beck,Henry Silva,Hal Needham,Action|Sci-Fi,megaforce,Barry Bostwick Michael Beck Henry Silva Hal Needham Action|Sci-Fi
Julie Christie,Brian Blessed,Richard Briers,Kenneth Branagh,Drama,hamlet,Julie Christie Brian Blessed Richard Briers Kenneth Branagh Drama
Bruce Greenwood,Suzie Steen,Aden Young,Bruce Beresford,Biography|Drama|Music|Romance,mao's last dancer,Bruce Greenwood Suzie Steen Aden Young Bruce Beresford Biography|Drama|Music|Romance
Kirsten Dunst,Sam Shepard,Paul Sparks,Jeff Nichols,Adventure|Drama|Sci-Fi|Thriller,midnight special,Kirsten Dunst Sam Shepard Paul Sparks Jeff Nichols Adventure|Drama|Sci-Fi|Thriller
Woody Allen,Stockard Channing,Fisher Stevens,Woody Allen,Comedy|Romance,anything else,Woody Allen Stockard Channing Fisher Stevens Woody Allen Comedy|Romance
Jeremy Irvine,Colin Firth,Sam Reid,Jonathan Teplitzky,Biography|Drama|Romance|War,the railway man,Jeremy Irvine Colin Firth Sam Reid Jonathan Teplitzky Biography|Drama|Romance|War
Poppy Montgomery,Dylan Walsh,Dallas Roberts,unknown,Drama|Mystery,unforgettable            ,Poppy Montgomery Dylan Walsh Dallas Roberts unknown Drama|Mystery
Ulrich Tukur,Burghart Klaußner,Leonie Benesch,Michael Haneke,Drama|Mystery,the white ribbon,Ulrich Tukur Burghart Klaußner Leonie Benesch Michael Haneke Drama|Mystery
Zack Ward,Anna Harr,James Cullen Bressack,Zack Ward,Horror,restoration,Zack Ward Anna Harr James Cullen Bressack Zack Ward Horror
Clint Howard,Randy Quaid,Nick Cassavetes,Mike Marvin,Action|Horror|Romance|Sci-Fi|Thriller,the wraith,Clint Howard Randy Quaid Nick Cassavetes Mike Marvin Action|Horror|Romance|Sci-Fi|Thriller
Adam Goldberg,Meat Loaf,Anthony LaPaglia,D.J. Caruso,Crime|Drama|Mystery|Thriller,the salton sea,Adam Goldberg Meat Loaf Anthony LaPaglia D.J. Caruso Crime|Drama|Mystery|Thriller
James Hetfield,Mackenzie Gray,Lars Ulrich,Nimród Antal,Music,metallica through the never,James Hetfield Mackenzie Gray Lars Ulrich Nimród Antal Music
Austin Nichols,Brad Renfro,Lou Taylor Pucci,Gregor Jordan,Crime|Drama|Thriller,the informers,Austin Nichols Brad Renfro Lou Taylor Pucci Gregor Jordan Crime|Drama|Thriller
Edgar Ramírez,Nora von Waldstätten,Katharina Schüttler,unknown,Biography|Crime|Drama|Thriller,carlos            ,Edgar Ramírez Nora von Waldstätten Katharina Schüttler unknown Biography|Crime|Drama|Thriller
